count|raw_tweet|processed_tweet
1|Good news is my switch from Pristiq to Effexor was generally painless. None of the nasty side effects that I’ve gotten trying to quit Pristiq cold turkey. Bad news is this stuff is definitely not as effective as Pristiq and I’ve been in a slump for about 10 days now. 😪| news   switch  pristiq  effexor   painless none   nasty  effects  ve gotten trying  quit pristiq cold turkey bad news   stuff  definitely   effective  pristiq  ve    slump    days  😪
2|This ocelot needs Pristiq!| ocelot  pristiq
3|i’m a pristiq sun aripiprazole moon and vyvanse rising|  pristiq sun aripiprazole moon  vyvanse rising
4|#LUPIN Gets USFDA Nod for Generic version of Pristiq or Desvenlafaxine Extended Release TabletsDesvenlafaxine is medication used to treat depressionDrug size $14m@CNBC_Awaaz #AwaazMarkets #MunafeKiBaat|lupin  usfda nod  generic version  pristiq  desvenlafaxine extended release tabletsdesvenlafaxine  medication   treat depressiondrug size mcnbcawaaz awaazmarkets munafekibaat
5|"why am I so chatty and thoughty at 1:30 in the fucking morning", I think, immediately before realizing with horror I forgot to take my pristiq for the second day in a row|    chatty  thoughty     fucking morning   immediately  realizing  horror  forgot    pristiq    day   row
6|granted it was not effector but pristiq (which at the time was newish)... i was like naaaaah I'm not paying $150 a month or whatever it was|granted    effector  pristiq    time  newish    naaaaah   paying   month  whatever  
7|@amanda_saurus If the intensity doesn’t mellow out, ask your psychiatrist for a smaller dose. I’m on 25 mg Pristiq, a super small dose but I don’t think my body could handle more than that. Best of luck to you on your journey to heal 💛|amandasaurus   intensity doesn mellow    psychiatrist    dose    mg pristiq  super  dose   don   body  handle      luck     journey  heal 💛
8|@ChuusbangsTM Def try it!! I’ve been on various meds throughout my silly little mental health journey and the ones I’m on rn (that work rlly well for me) are Pristiq and Lamictal|chuusbangstm def try  ve   various meds throughout  silly little mental health journey   ones   rn   rlly     pristiq  lamictal
9|ตอนนี้กินยาอยู่ 2 ตัวคือ Pristiq(Desvenlafaxine) กับ Wellbutrin(Bupropion)|ตอนนี้กินยาอยู่  ตัวคือ pristiqdesvenlafaxine กับ wellbutrinbupropion
10|@SylvanRat i hope it works or that you can find something that does soon. a friend of mine was taking venlafaxine (effexor) to good effect but is now trying desvenlafaxine (pristiq) for his adhd|sylvanrat  hope           soon  friend  mine  taking venlafaxine effexor   effect    trying desvenlafaxine pristiq   adhd
11|ok so coming off pristiq is fucking with me HEAVILY I have felt drunk since yesterday like honestly it's kinda cool to feel happy-go-tipsy but what's happening to me|ok  coming  pristiq  fucking   heavily    drunk  yesterday  honestly  kinda cool  feel happytipsy   happening  
12|@slaycalz Pristiq gives u acne, weight gain and psychosis so|slaycalz pristiq   acne weight gain  psychosis 
13|https://t.co/3dcWmdL6Vt#knowyourdrugs|httpscodcwmdlvtknowyourdrugs
14|my list of antidepresants:zoloft: did absolutely fucking nothing.prozac: made me foggy headed all the time. wasnt aware of anything around me at all lolpristiq: cleared up the fogginess but anxiety out da roooooffff https://t.co/0JxCAhlopf| list  antidepresantszoloft  absolutely fucking prozac   foggy headed   time wasnt aware       lolpristiq cleared   fogginess  anxiety  da roooooffff httpscojxcahlopf
15|@transbicon ugh 🙄 our last aprn put several people including bipolar clients or schizoaffective bipolar type on pristiq like what are you doing|transbicon ugh 🙄   aprn   people including bipolar clients  schizoaffective bipolar type  pristiq     
16|This bat needs Pristiq!| bat  pristiq
17|Si me caben unas 2 pristiq 🤣🤣🤣 https://t.co/X5On2WmS7F|si  caben unas  pristiq 🤣🤣🤣 httpscoxonwmsf
18|Pristiq Bottom|pristiq bottom
19|#DVeniz ( #GenericDesvenlafaxine Tablets) is used for the treatment of #majordepressivedisorder ( #MDD ) #depression  https://t.co/UY2FczukPG https://t.co/TXmoS6J5g5|dveniz  genericdesvenlafaxine tablets     treatment  majordepressivedisorder  mdd  depression  httpscouyfczukpg httpscotxmosjg
20|@PanicMixxi I had hallucinations on Pristiq. That doesn't mean that SNRIs don't work. That just meant that Pristiq was bad for me in particular. I'm sure it works for other people.Although, I never went to that doctor again after that experience...|panicmixxi   hallucinations  pristiq   mean  snris     meant  pristiq  bad    particular       people      doctor    experience
21|RT @loveinbIood: the robins as antidepressants i've takendick: pristiq and abilifytim: zoloftjason: weeddamian: should be taking lexap…|rt loveinbiood  robins  antidepressants  takendick pristiq  abilifytim zoloftjason weeddamian   taking lexap…
22|RT @loveinbIood: the robins as antidepressants i've takendick: pristiq and abilifytim: zoloftjason: weeddamian: should be taking lexap…|rt loveinbiood  robins  antidepressants  takendick pristiq  abilifytim zoloftjason weeddamian   taking lexap…
23|the robins as antidepressants i've takendick: pristiq and abilifytim: zoloftjason: weeddamian: should be taking lexapro but refuses tosteph: bupropion| robins  antidepressants  takendick pristiq  abilifytim zoloftjason weeddamian   taking lexapro  refuses tosteph bupropion
24|@fuyuki_0127 係pristiq..|fuyuki 係pristiq
25|@lindie8487 @dvasishtha More PHQ-9/GAD-7 -&gt; more depression+anxiety diagnoses --&gt; more psychiatric prescriptions. Pfizer's psych armamentarium includes Zoloft, Effexor, Xanax, Pristiq.|lindie dvasishtha  phqgad gt  depressionanxiety diagnoses gt  psychiatric prescriptions pfizer psych armamentarium includes zoloft effexor xanax pristiq
26|@sicklybabe @faultnourczars @batbushka Exactly. It was “Nope! All good!” I was on Welbutrin, Pristiq and Buspar which all set up serotonin syndrome alone|sicklybabe faultnourczars batbushka exactly   nope      welbutrin pristiq  buspar   set  serotonin syndrome 
27|@Just_Miyo Yeah pristiq is working fine, i dont feel like blowing my brains out w a shotgun 24/7, just sometimes|justmiyo yeah pristiq   fine  dont feel  blowing  brains    shotgun   sometimes
28|Ive been changing meds constantly since october because they werent doing much (luvox,sertraline,lexapro,lexapro AND lamotrigine) but ive been taking 100 mg of pristiq/desvenlafaxine and its working pretty good actually, i also got a xanax prescription to deal w panic attacks lol https://t.co/J9rJATgBvB|ive  changing meds constantly  october   werent   luvoxsertralinelexaprolexapro  lamotrigine  ive  taking  mg  pristiqdesvenlafaxine    pretty  actually     xanax prescription  deal  panic attacks lol httpscojrjatgbvb
